id;user_id;ft_link;titel;jaar;regisseur;cast;genre;land;cover;tagline;duur;synopsis;ft_rating;ft_votes;imdb_id;imdb_rating;imdb_votes;starttijd;eindtijd;zender;filmtip;date
1;2;https://www.filmtotaal.nl/film/25795;Maya de Bij - Eerste Vlucht;2014;Alexs Stadermann;Kodi Smit-McPhee:Noah Taylor:Richard Roxburgh:Jacki Weaver:Miriam Margolyes:Andy McPhee;Animatie:Avontuur:Komedie:Familiefilm;"Australi&euml;:Duitsland";https://www.filmtotaal.nl/images/covers/b9sudhmgdx.jpg;;89;Maya is een kleine nieuwsgierige bij die niet in de bijenkorf wil blijven, maar de mooie weide en haar bewoners wil ontdekken. Als de koninginnenbrij gestolen wordt, zijn de horzels als aartsvijanden van de bijen meteen verdacht. Willy en Maya besluiten samen het mysterie van de verdwenen koninginnenbrij op te lossen. Na een lange en spannende reis naar de korf van de horzels vinden Maya en Willy de ware schuldige. De kleine Maya en haar vriendjes redden de bijenkorf van de gemene, hebzuchtige adviseur van de Koningin, Buzzlinda, en zorgen ervoor dat de langdurige vijandigheid tussen bijen en horzels voorgoed tot het verleden behoort.;0;0;3336368;6;1210;2018-10-25 12:00:00;2018-10-25 13:25:00;NPO3;1;25-10-2018
2;2;https://www.filmtotaal.nl/film/23628;Standing Ovation;2010;Stewart Raffill;Devon Jordan:Ashley Cutrona:Erika Corvette:London Clark:Jeana Zettler:Brooke Feldman;Musical;Verenigde Staten;https://www.filmtotaal.nl/images/covers/nbp4p416p1.jpg;Dance - Sing - Dream;105;"Vijf jonge meiden vormen een zanggroep genaamd The 5 Ovations en doen mee aan een nationale wedstrijd waarmee ze een miljoen dollar in contanten mee kunnen verdienen. Met slechts een beperkt budget en weinig bronnen, gebruiken de kinderen hun eigen slimheid, moed en passie om spectaculaire liedjes en dansnummers te cre&euml;ren. Hun rivalen zijn The Wiggies: vijf rijke, getalenteerde, maar ook gewetenloze zusjes die samen met hun ouders zich alles veroorloven om maar te kunnen winnen.";0;0;1303803;3.4;556;2018-10-25 15:30:00;2018-10-25 15:31:00;NPO3;0;25-10-2018
8;2;https://www.filmtotaal.nl/film/28350;"Bibi &amp; Tina 2";2014;Detlev Buck;"Lina Larissa Strahl:Lisa-Marie Koroll:Louis Held:Michael Maertens:Martin Seifert:Winnie B&ouml;we";Familiefilm;Duitsland;https://www.filmtotaal.nl/images/covers/yjv3sd0f0m.jpg;;137;Er is reden tot ongenoegen in Kasteel Falkenstein: bij de voorbereidingen van een gekostumeerd bal wordt er ingebroken. De dief steelt niet alleen alle waardevolle schilderijen, maar ook graaf Falko's geliefde verzameling monocles. Ook op het Martinshof maakt men zich ondertussen grote zorgen, want al is het vakantieseizoen begonnen, er is nog geen enkele gast aangekomen. Het is nu aan Bibi en Tina om de dief op te pakken, en tegelijkertijd ook uit te kijken hoe men snel gasten kan lokken naar de vakantieboerderij.;0;0;4008866;5.5;163;2018-10-26 15:31:00;2018-10-26 17:15:00;NPO3;0;26-10-2018
9;5;https://www.filmtotaal.nl/film/19209;Black Swan;2010;Darren Aronofsky;Natalie Portman:Mila Kunis:Vincent Cassel:Barbara Hershey:Winona Ryder:Benjamin Millepied;Drama:Thriller;Verenigde Staten;https://www.filmtotaal.nl/images/covers/dd9v3lpumo.jpg;;108;"Balletdanseres Nina (Natalie Portman) maakt deel uit van een balletgezelschap waarbinnen hevige concurentie heerst. De belangrijkste danseres van dat moment, Beth (Winona Ryder), staat op het punt om te vertrekken en iedereen wil haar plaats innemen, te meer daar zij tot dan toe een hoofdrol vertolkte in het populaire Swan Lake ballet van Tsjaikovski. Volgens artistiek leider Yevna (Vincent Cassel) heeft ze zeker talent, maar mist ze het &eacute;&eacute;n en ander op het mentale vlak. Ook moet ze afrekenen met haar speelzieke rivale Lily (Mila Kunis) wil zij een kans maken om de hoofdrol te gaan vertolken.";7.9;140;0947798;8;612072;2018-10-27 01:05:00;2018-10-27 02:50:00;RTL8;1;26-10-2018
10;1;https://www.filmtotaal.nl/film/21166;A Good Old Fashioned Orgy;2011;Alex Gregory:Peter Huyck;Jason Sudeikis:Leslie Bibb:Lake Bell:Michelle Borth:Nick Kroll:Tyler Labine;Komedie;Verenigde Staten;https://www.filmtotaal.nl/images/covers/oxw11nvwq4.jpg;A comedy about old friends in new positions.;95;"Een groep dertigers, die al vrienden zijn sinds de middelbare school, geven regelmatig zomerfeesten in een vakantiehuis in de Hamptons. Wanneer de vader van Eric besluit het vakantiehuis te verkopen komt hier een eind aan. Om het groots af te sluiten roept Eric zijn vrienden op om nog &eacute;&eacute;n keer een feest te geven: een orgie.";5.6;14;1231586;6.2;18213;2018-10-30 20:30:00;2018-10-30 22:30:00;RTL8;1;30-10-201811;1;https://www.filmtotaal.nl/film/12102;Zwartboek;2006;Paul Verhoeven;Carice van Houten:Sebastian Koch:Thom Hoffman:Halina Reijn:Waldemar Kobus:Derek de Lint;Drama:Thriller:Oorlog;"Nederland:Duitsland:Verenigd Koninkrijk:Belgi&euml;";https://www.filmtotaal.nl/images/covers/i3hpbsnvmo.jpg;To fight the enemy, she must become one of them.;145;"Wanneer het onderduikadres van de mooie joodse zangeres Rachel Steinn per ongeluk wordt gebombardeerd, besluit ze om met een groep joden de Biesbosch over te steken naar reeds bevrijd gebied. De boot stuit echter op een Duitse patrouille en alle vluchtelingen worden op brute wijze afgeslacht. Alleen Rachel weet te ontkomen. Ze sluit zich aan bij het verzet, en weet als Ellis de Vries aan te pappen met de hoge Duitse SD-officier M&uuml;ntze. Deze is erg van haar gecharmeerd en biedt haar een baan aan. Het verzet heeft ondertussen het plan opgevat een groep gevangen genomen verzetslieden te bevrijden met hulp van Ellis. Dit mislukt jammerlijk omdat het verraden is. Ellis wordt zowel door het verzet als door de Duitsers als schuldige aangewezen. Met M&uuml;ntze aan haar zijde duikt ze weer onder, samen het einde van de oorlog afwachtend. De bevrijding brengt Ellis geen vrijheid; zelfs niet wanneer ze de echte verrader weet te ontmaskeren....";7.8;135;0389557;7.8;65586;2018-10-30 20:30:00;2018-10-30 23:30:00;RTL7;1;30-10-2018
11;1;https://www.filmtotaal.nl/film/12102;Zwartboek;2006;Paul Verhoeven;Carice van Houten:Sebastian Koch:Thom Hoffman:Halina Reijn:Waldemar Kobus:Derek de Lint;Drama:Thriller:Oorlog;"Nederland:Duitsland:Verenigd Koninkrijk:Belgi&euml;";https://www.filmtotaal.nl/images/covers/i3hpbsnvmo.jpg;To fight the enemy, she must become one of them.;145;"Wanneer het onderduikadres van de mooie joodse zangeres Rachel Steinn per ongeluk wordt gebombardeerd, besluit ze om met een groep joden de Biesbosch over te steken naar reeds bevrijd gebied. De boot stuit echter op een Duitse patrouille en alle vluchtelingen worden op brute wijze afgeslacht. Alleen Rachel weet te ontkomen. Ze sluit zich aan bij het verzet, en weet als Ellis de Vries aan te pappen met de hoge Duitse SD-officier M&uuml;ntze. Deze is erg van haar gecharmeerd en biedt haar een baan aan. Het verzet heeft ondertussen het plan opgevat een groep gevangen genomen verzetslieden te bevrijden met hulp van Ellis. Dit mislukt jammerlijk omdat het verraden is. Ellis wordt zowel door het verzet als door de Duitsers als schuldige aangewezen. Met M&uuml;ntze aan haar zijde duikt ze weer onder, samen het einde van de oorlog afwachtend. De bevrijding brengt Ellis geen vrijheid; zelfs niet wanneer ze de echte verrader weet te ontmaskeren....";7.8;135;0389557;7.8;65586;2018-10-30 20:30:00;2018-10-30 23:30:00;RTL7;1;30-10-201812;1;https://www.filmtotaal.nl/film/5513;Beetlejuice;1988;Tim Burton;Alec Baldwin:Geena Davis:Annie McEnroe:Maurice Page:Hugo Stanger:Michael Keaton;Komedie:Fantasy;Verenigde Staten;https://www.filmtotaal.nl/images/covers/p4dnhv5pbe.jpg;Say it once... Say it twice... But we dare you to say it THREE TIMES;92;Barbara en Adam Maitlin zijn betrokken bij een zwaar auto-ongeval. Wanneer ze thuiskomen beseffen ze dat ze eigenlijk niet meer leven. Hun huis wordt verkocht en de nieuwe eigenaars willen het omtoveren tot een excentriek gebouw. De Maitlins hebben het hier zeer moeilijk mee en beseffen dat ze de nieuwe eigenaars als spoken angst kunnen aanjagen. Maar al vlug dringt het tot hen door dat het leven na de dood niet zo eenvoudig is. Wanneer ze willen spoken, zullen ze eerst moeten leren hoe dat werkt. Ook al krijgen ze de hulp van Juno, toch blijken de nieuwe eigenaars zeer goed opgewassen tegen lugubere geluiden en vreemde krachten. De Maitlins raken stilaan wanhopig en vragen de hulp van Beetlejuice, een spook dat zich kan omvormen tot een verschrikkelijk monster.;6.6;55;0094721;7.5;186615;2018-10-30 20:30:00;2018-10-30 22:15:00;SBS9;1;30-10-2018
12;1;https://www.filmtotaal.nl/film/20516;1911;2011;;Jackie Chan:Winston Chao:Bingbing Li:Chun Sun:Joan Chen:Wu Jiang;Actie:Avontuur:Drama:Historisch:Oorlog;China:Hongkong;https://www.filmtotaal.nl/images/covers/99hyq9vl7c.jpg;Fall of the Last Empire;121;Verhaal over de laatste revolutie in China, die van 1911 waarin de Chinese keizer van de troon werd gestoten, het einde van de Qing-dynastie, en de republiek China werd uitgeroepen. Huang Xing is een revolutionair die uiteindelijk deze republiek uitriep na een felle strijd met de royalistische macht.;0;0;1772230;5.9;5263;2018-10-30 23:30:00;2018-10-31 02:01:00;RTL7;1;30-10-2018
